iter	RMSE
0	1.13604522
1	1.11776002
2	1.100194006
3	1.082353756
4	1.065222874
5	1.050076413
6	1.034962151
7	1.019710792
8	1.005037028
9	0.9912199985
10	0.9782969048
11	0.9651570025
12	0.9522799572
13	0.9404897264
14	0.9285942632
15	0.9174967028
16	0.9060593195
17	0.8954631679
18	0.8853159621
19	0.8760143619
20	0.8665615823
21	0.856795575
22	0.8480568838
23	0.8397604849
24	0.8311248335
25	0.8230505136
26	0.8155891572
27	0.8085670109
28	0.8013523184
29	0.794284577
30	0.7862938948
31	0.7802326725
32	0.7740930473
33	0.7681903722
34	0.7622103979
35	0.7560005374
36	0.7499686713
37	0.7443910248
38	0.7382775517
39	0.7329191783
40	0.7283356442
41	0.7236899613
42	0.71902401
43	0.7148110172
44	0.710546924
45	0.7060137575
46	0.7010935401
47	0.6972153501
48	0.6937310873
49	0.6903205564
50	0.6868632372
51	0.6839780807
52	0.6811357979
53	0.6781531765
54	0.6754586728
55	0.6716039514
56	0.6691116143
57	0.6656334907
58	0.6629035068
59	0.6607608467
60	0.6580499794
61	0.6551569814
62	0.6528123446
63	0.6506694628
64	0.6476708285
65	0.6449953868
66	0.6429901753
67	0.6410698384
68	0.6381200672
69	0.6362374542
70	0.6347302768
71	0.6324801422
72	0.6298397367
73	0.6278489205
74	0.6256491728
75	0.6233063736
76	0.6210192711
77	0.6189352188
78	0.6173243541
79	0.6161390124
80	0.6145646265
81	0.6122993263
82	0.6100447461
83	0.6090313553
84	0.6078409914
85	0.6065440321
86	0.6052419839
87	0.6039436782
88	0.6020007776
89	0.6001052794
90	0.5982073394
91	0.5964024037
92	0.595104158
93	0.5934028087
94	0.5922563092
95	0.5904232627
96	0.5895334237
97	0.5880334817
98	0.5871585077
99	0.5855863195
100	0.5847661581
101	0.5838714868
102	0.5829236051
103	0.5820320156
104	0.580986821
105	0.5792512018
106	0.5786338699
107	0.5770294208
108	0.575784798
109	0.5750451758
110	0.5741316242
111	0.5728449365
112	0.5720598895
113	0.5709156642
114	0.5701591843
115	0.5689099279
116	0.5681485282
117	0.5676407447
118	0.5671267811
119	0.5664449162
120	0.5653996463
121	0.5646027188
122	0.5639531305
123	0.5629788073
124	0.5620705751
125	0.5615993538
126	0.5609695679
127	0.5605028284
128	0.5598964794
129	0.5591989685
130	0.558547584
131	0.5580306814
132	0.5574010636
133	0.5565336537
134	0.5560856202
135	0.5554333646
136	0.5549398426
137	0.5542205434
138	0.5536062258
139	0.5530530985
140	0.552436873
141	0.5520393504
142	0.5514528968
143	0.5505830757
144	0.5500210095
145	0.5494243574
146	0.5490724383
147	0.5487419766
148	0.5483634099
149	0.5479510504
150	0.5475360526
151	0.5466549268
152	0.5462166567
153	0.5454614472
154	0.5450599843
155	0.5442538356
156	0.5436205273
157	0.5432021106
158	0.5429006401
159	0.5423453535
160	0.541841746
161	0.5410101528
162	0.5407222754
163	0.5401431094
164	0.5396385265
165	0.5393828096
166	0.5390792099
167	0.5382197809
168	0.5376954533
169	0.5372366547
170	0.5366815474
171	0.5364661974
172	0.5361198332
173	0.5357697743
174	0.5353419205
175	0.535059046
176	0.5347185736
177	0.5339869025
178	0.5335985368
179	0.5332966381
180	0.5325878207
181	0.5321964961
182	0.5317184516
