iter	Passed	Remaining
0	2	2881
1	5	2839
2	8	2839
3	11	2839
4	13	2777
5	16	2778
6	19	2786
7	22	2782
8	25	2774
9	27	2749
10	30	2733
11	32	2715
12	35	2704
13	38	2696
14	40	2683
15	43	2676
16	46	2672
17	48	2664
18	51	2655
19	53	2643
20	56	2634
21	59	2628
22	61	2632
23	64	2622
24	67	2614
25	69	2613
26	72	2610
27	75	2610
28	77	2608
29	80	2601
30	83	2601
31	85	2593
32	88	2586
33	90	2581
34	93	2580
35	96	2582
36	99	2582
37	101	2580
38	104	2574
39	107	2571
40	109	2569
41	112	2567
42	115	2564
43	117	2560
44	120	2554
45	122	2550
46	125	2545
47	128	2539
48	130	2534
49	133	2530
50	135	2528
51	138	2523
52	141	2520
53	143	2516
54	146	2515
55	148	2511
56	151	2506
57	154	2503
58	156	2498
59	159	2494
60	161	2489
61	164	2485
62	166	2479
63	169	2476
64	171	2473
65	174	2474
66	177	2469
67	179	2464
68	182	2459
69	184	2456
70	187	2453
71	190	2449
72	192	2446
73	195	2441
74	197	2438
75	200	2436
76	202	2432
77	207	2452
78	210	2449
79	212	2445
80	215	2440
81	217	2437
82	220	2433
83	222	2429
84	225	2424
85	227	2420
86	230	2414
87	232	2408
88	234	2403
89	237	2398
90	239	2394
91	242	2389
92	244	2383
93	246	2379
94	249	2375
95	251	2371
96	254	2368
97	256	2364
98	260	2371
99	263	2368
100	265	2366
101	268	2361
102	270	2357
103	273	2354
104	275	2350
105	278	2348
106	280	2345
107	283	2342
108	286	2338
109	288	2335
110	291	2331
111	293	2327
112	295	2323
113	298	2319
114	301	2316
115	303	2313
116	306	2310
117	308	2307
118	311	2303
119	313	2298
120	315	2295
121	318	2290
122	320	2286
123	323	2282
124	325	2278
125	327	2274
126	330	2271
127	332	2267
128	335	2263
129	337	2261
130	340	2258
131	343	2255
132	345	2252
133	348	2249
134	350	2246
135	353	2244
136	356	2242
137	358	2240
138	361	2237
139	363	2233
140	365	2229
141	368	2226
142	370	2223
143	373	2219
144	375	2216
145	378	2212
146	380	2208
147	382	2204
148	385	2200
149	387	2197
150	390	2193
151	392	2190
152	395	2187
153	397	2184
154	400	2181
155	402	2179
156	405	2176
157	407	2173
158	410	2169
159	412	2166
160	415	2163
161	417	2160
162	420	2156
163	422	2153
164	424	2150
165	427	2146
166	429	2142
167	432	2140
168	434	2137
169	437	2134
170	439	2131
171	442	2129
172	445	2128
173	447	2126
174	450	2123
175	453	2121
176	455	2119
177	458	2117
178	461	2115
179	463	2112
180	466	2110
181	468	2107
182	471	2105
183	474	2102
184	476	2100
185	479	2097
186	481	2094
187	484	2093
188	487	2090
189	489	2088
190	492	2085
191	494	2082
192	497	2080
193	500	2078
