iter	Accuracy	Logloss
0	0.8282828283	0.6802687161
1	0.835016835	0.667015294
2	0.8361391695	0.6547805778
3	0.8383838384	0.642686454
4	0.8439955107	0.6312374172
5	0.8406285073	0.6184680724
6	0.8406285073	0.6097381944
7	0.8395061728	0.5996677102
8	0.8395061728	0.5903039774
9	0.847362514	0.5801189175
10	0.8484848485	0.5712487122
11	0.8518518519	0.5626536719
12	0.8518518519	0.5542405738
13	0.8529741863	0.5462103763
14	0.8529741863	0.5396345148
15	0.8529741863	0.5343387936
16	0.8518518519	0.5264013538
17	0.8529741863	0.5192590282
18	0.8529741863	0.5142387763
19	0.8540965208	0.5071818881
20	0.8518518519	0.5027177767
21	0.8518518519	0.4973196655
22	0.8529741863	0.4930797755
23	0.8529741863	0.4873965386
24	0.8529741863	0.4825477039
25	0.8540965208	0.4776869074
26	0.8540965208	0.4735166599
27	0.8540965208	0.4707339535
28	0.8518518519	0.4677615979
29	0.8507295174	0.4635798078
30	0.8507295174	0.4613894762
31	0.8507295174	0.4579734667
32	0.8518518519	0.4530639259
33	0.8518518519	0.4506923151
34	0.8518518519	0.4466189665
35	0.8518518519	0.4434214872
36	0.8518518519	0.4405963218
37	0.8529741863	0.4372743647
38	0.8529741863	0.4341710312
39	0.8529741863	0.4306844004
40	0.8529741863	0.4276422659
41	0.8529741863	0.4242215598
42	0.8529741863	0.4214374983
43	0.8529741863	0.4185920324
44	0.8529741863	0.4161000138
45	0.8529741863	0.4140666822
46	0.8518518519	0.4117168527
47	0.8518518519	0.4092282943
48	0.8518518519	0.4065372481
49	0.8529741863	0.4047449817
50	0.8518518519	0.4041032724
51	0.8518518519	0.4015145236
52	0.8518518519	0.400455693
53	0.8507295174	0.39881087
54	0.8518518519	0.3965952314
55	0.8518518519	0.3943464369
56	0.8518518519	0.392453063
57	0.8518518519	0.3906752167
58	0.8540965208	0.388384278
59	0.8552188552	0.3863482655
60	0.8552188552	0.385346921
61	0.8552188552	0.3837661494
62	0.8540965208	0.381739713
63	0.8552188552	0.3804756378
64	0.8552188552	0.3791948592
65	0.8540965208	0.3777282416
66	0.8552188552	0.3762140569
67	0.8552188552	0.3751266736
68	0.8552188552	0.3736054854
69	0.8574635241	0.3721024828
70	0.8563411897	0.3707908747
71	0.8563411897	0.3697990614
72	0.8552188552	0.3684148791
