iter	Passed	Remaining
0	30	150852
1	55	138613
2	91	152902
3	118	147616
4	143	143185
5	186	155556
6	200	143088
7	226	141391
8	253	140544
9	280	139739
10	306	139039
11	330	137358
12	355	136431
13	376	133959
14	399	132804
15	413	128877
16	435	127559
17	454	125719
18	476	125028
19	502	125213
20	523	124189
21	547	123773
22	563	121963
23	587	121814
24	611	121772
25	635	121512
26	657	121134
27	672	119458
28	687	117896
29	710	117672
30	725	116299
31	752	116812
32	776	116893
33	804	117511
34	826	117312
35	852	117602
36	875	117473
37	898	117326
38	922	117322
39	944	117108
40	968	117147
41	999	117973
42	1055	121695
43	1099	123797
44	1124	123842
45	1147	123536
46	1168	123166
47	1191	122942
48	1214	122695
49	1236	122365
50	1244	120759
51	1266	120505
52	1281	119594
53	1303	119402
54	1326	119279
55	1349	119154
56	1372	119031
57	1396	118963
58	1418	118778
59	1441	118657
60	1463	118527
61	1487	118459
62	1510	118408
63	1533	118290
64	1556	118195
65	1579	118110
66	1601	117887
67	1625	117909
68	1648	117818
69	1671	117717
70	1693	117543
71	1714	117352
72	1737	117265
73	1760	117168
74	1783	117114
75	1801	116749
76	1809	115720
77	1833	115671
78	1857	115693
79	1880	115630
80	1904	115647
81	1927	115583
82	1950	115559
83	1974	115576
84	1999	115609
85	2023	115609
86	2040	115236
87	2063	115167
88	2085	115067
89	2110	115116
90	2132	115063
91	2156	115066
92	2180	115069
93	2203	115013
94	2225	114899
95	2242	114529
96	2264	114466
97	2289	114511
98	2312	114492
99	2335	114421
100	2359	114436
101	2382	114393
102	2405	114345
103	2427	114295
104	2451	114300
105	2475	114307
106	2499	114302
107	2524	114333
108	2546	114276
109	2569	114237
110	2592	114176
111	2614	114125
112	2637	114068
113	2662	114098
114	2685	114062
115	2709	114090
116	2732	114041
117	2756	114048
118	2780	114046
119	2803	114017
120	2822	113828
121	2847	113865
122	2872	113890
123	2881	113313
124	2903	113232
125	2927	113237
126	2951	113249
127	2977	113325
128	3014	113814
129	3035	113726
130	3061	113778
131	3085	113771
132	3107	113711
133	3129	113649
134	3145	113344
135	3170	113398
136	3193	113346
137	3215	113295
138	3236	113191
139	3259	113136
140	3283	113141
141	3306	113130
142	3329	113070
143	3351	113028
144	3376	113041
145	3399	113030
146	3424	113061
147	3449	113084
148	3477	113225
149	3500	113174
150	3530	113357
151	3538	112869
152	3560	112803
153	3587	112902
154	3613	112942
155	3626	112600
156	3651	112623
157	3677	112710
158	3707	112882
159	3734	112978
160	3757	112949
161	3788	113132
162	3818	113309
163	3845	113398
164	3874	113533
165	3907	113787
166	3932	113815
167	3958	113842
168	3984	113892
169	4010	113946
170	4035	113954
171	4064	114077
172	4087	114062
173	4115	114135
174	4147	114345
175	4175	114454
176	4200	114450
177	4225	114462
178	4250	114470
179	4278	114577
180	4309	114727
181	4338	114864
182	4367	114973
183	4394	115025
184	4423	115124
185	4452	115229
186	4476	115224
187	4502	115233
188	4526	115231
189	4567	115638
190	4590	115578
191	4602	115266
192	4625	115209
193	4648	115153
194	4673	115150
195	4697	115125
196	4721	115122
197	4745	115088
198	4764	114949
199	4787	114892
200	4809	114834
201	4833	114803
202	4857	114774
203	4879	114704
204	4901	114655
205	4926	114642
206	4942	114436
207	4966	114419
208	4993	114464
209	5016	114421
210	5040	114411
211	5064	114375
212	5088	114350
213	5112	114341
214	5136	114307
215	5159	114284
216	5182	114228
217	5206	114215
218	5230	114193
219	5256	114215
220	5284	114278
221	5304	114165
222	5331	114211
223	5358	114255
224	5386	114309
225	5412	114333
226	5435	114283
227	5459	114258
228	5481	114211
229	5504	114149
230	5527	114119
231	5550	114073
232	5577	114107
233	5601	114082
234	5626	114077
235	5651	114091
236	5675	114053
237	5698	114012
238	5721	113973
239	5744	113933
240	5767	113897
241	5790	113842
242	5811	113767
243	5834	113726
244	5857	113679
245	5879	113628
246	5887	113293
247	5910	113245
248	5932	113190
249	5956	113178
250	5982	113186
251	6002	113088
252	6024	113033
253	6047	113002
254	6071	112972
255	6093	112915
256	6116	112879
257	6139	112836
258	6163	112823
259	6185	112768
260	6209	112745
261	6218	112449
262	6240	112394
263	6276	112595
264	6300	112585
265	6324	112551
266	6347	112512
267	6367	112432
268	6388	112361
269	6412	112334
270	6434	112275
271	6458	112263
272	6480	112214
273	6504	112185
274	6527	112152
275	6549	112103
276	6573	112086
277	6595	112033
278	6620	112019
279	6642	111974
280	6666	111961
281	6675	111678
282	6696	111608
283	6719	111575
284	6742	111542
285	6766	111535
286	6788	111475
287	6810	111426
288	6819	111162
289	6830	110936
290	6852	110893
291	6877	110881
292	6900	110852
293	6911	110634
294	6933	110584
295	6957	110561
296	6974	110433
297	6998	110418
298	7022	110406
299	7045	110380
300	7070	110375
301	7093	110351
302	7115	110304
303	7138	110264
304	7161	110239
305	7169	109982
306	7192	109943
307	7214	109897
308	7236	109865
309	7259	109823
310	7283	109809
311	7305	109762
312	7327	109729
313	7350	109697
314	7381	109782
315	7405	109767
316	7441	109932
317	7464	109896
318	7488	109883
319	7510	109846
320	7534	109818
321	7546	109629
322	7569	109600
323	7584	109463
324	7608	109441
325	7630	109404
326	7654	109393
327	7676	109347
328	7700	109328
329	7726	109344
330	7754	109389
331	7777	109356
332	7801	109334
333	7809	109103
334	7817	108864
335	7841	108852
336	7865	108831
337	7883	108739
338	7908	108737
339	7930	108692
340	7954	108679
341	7976	108644
342	8001	108637
343	8024	108604
344	8048	108589
345	8070	108559
346	8094	108536
347	8117	108508
348	8139	108474
349	8161	108428
350	8183	108394
351	8206	108366
352	8229	108340
353	8253	108324
354	8278	108317
355	8300	108273
356	8323	108252
357	8347	108241
358	8370	108209
359	8392	108171
360	8416	108159
361	8441	108152
362	8464	108123
363	8487	108095
364	8511	108081
365	8535	108067
366	8558	108044
367	8581	108009
368	8605	107995
369	8630	108003
370	8653	107975
371	8662	107769
372	8684	107732
373	8708	107712
374	8723	107595
375	8747	107581
376	8769	107537
377	8791	107499
378	8813	107465
379	8837	107449
380	8854	107346
381	8877	107314
382	8899	107279
383	8922	107255
384	8945	107229
385	8968	107200
386	8990	107166
387	9014	107148
388	9037	107126
389	9063	107130
390	9085	107098
391	9100	106983
392	9109	106784
393	9132	106766
394	9156	106746
395	9177	106699
396	9199	106665
397	9222	106641
398	9247	106632
399	9272	106632
400	9297	106636
401	9320	106602
402	9343	106581
403	9367	106562
404	9390	106542
405	9411	106498
406	9435	106476
407	9459	106465
408	9482	106438
409	9505	106412
410	9529	106400
411	9554	106399
412	9577	106376
413	9600	106352
414	9624	106335
415	9633	106153
416	9657	106143
417	9679	106107
418	9701	106068
419	9723	106037
420	9748	106033
421	9774	106033
422	9782	105852
423	9804	105819
424	9827	105788
425	9850	105761
426	9873	105738
427	9895	105708
428	9918	105679
429	9941	105661
430	9961	105601
431	9984	105576
432	10004	105518
433	10041	105648
434	10064	105615
435	10087	105595
436	10107	105537
437	10130	105510
438	10150	105459
439	10172	105428
440	10193	105384
441	10214	105334
442	10236	105302
443	10256	105244
444	10280	105228
445	10301	105188
446	10322	105136
447	10343	105098
448	10362	105032
449	10386	105014
450	10405	104956
451	10428	104928
452	10448	104874
453	10466	104800
454	10488	104772
455	10510	104738
456	10533	104715
457	10554	104668
458	10576	104633
459	10597	104594
460	10619	104554
